UNIQUEID,REGION,STATE,PERCENTILE,TOP5PCT,HHNUMBR,AGES5TO18,pctPopulation,LIVINGQRTS,TENURETYPE,PROPERTYVALUE,LOWERRENT,HOUSINGPROJECT,FOODSTAMPS,ENGERGYASST,pctFRval,pctSEval,pctWSval,pctOIval,pctANNval,pctCSPval,pctDISval,pctDIVval,pctSDTval,pctEDval,pctFINval,pctINTval,pctPAWval,pctPENval,pctRNTval,pctSSIval,pctSSval,pctSURval,pctUCval,pctVETval,pctWCval,pctTotal ,pctPopPercent,HTOTVAL
08802948920847106011,2,29,12,2,1,0,0.000399202,1,1,130000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,67002
09251914080640406011,2,29,6,2,2,0,0.000798403,1,1,150000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.49,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.36,0,0,0,0,1,0.5,30638
02091085877098606011,2,29,1,2,1,0,0.000399202,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8400
50620708891089706011,2,29,6,2,2,0,0.000798403,1,1,250000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.72,0.02,0,0.24,0,0,0,0,0.99,0.5,34143
29278918000480405111,2,29,11,2,1,0,0.000399202,1,1,150000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1,1,61255
20407081209898405111,2,29,7,2,2,0,0.000798403,1,1,160000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.35,0,0,0.64,0,0,0,0,1.01,0.51,38166
17191209012113604011,2,29,6,2,4,0,0.001596806,1,1,130000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,31210
18699209009638406011,2,29,1,2,1,0,0.000399202,1,1,300000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,8000
99269114040240105011,2,29,8,2,2,0,0.000798403,1,1,160000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,1,0.5,41659
02091045340034705011,2,29,8,2,4,0,0.001596806,1,1,40000,No Rental Assistance,Not a Public Housing Project,1200,0,0,0,0.42,0,0,0,0,0,0.02,0,0,0.02,0.08,0,0,0,0.46,0,0,0,0,1,0.25,44844
69239117050270806011,2,29,14,2,4,2,0.001596806,5,1,5000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.98,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,84641
73169400932045506011,2,29,10,2,6,2,0.00239521,6,0,0,No Rental Assistance,Not a Public Housing Project,6600,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,1,0.17,53796
05903964320547106011,2,29,0,0,1,0,0.0004,12,1,1200,No Rental Assistance,Not a Public Housing Project,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15020
05302900820696106011,2,29,4,2,5,2,0.001996008,1,1,100000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,21300
18671209001934705011,2,29,13,2,4,1,0.001596806,1,1,180000,No Rental Assistance,Not a Public Housing Project,0,0,0,0.19,0.8,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,80825
03081045457254205011,2,38,12,2,3,0,0.001258389,1,1,120000,No Rental Assistance,Not a Public Housing Project,0,0,0.6,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,1,0.33,67012
18230308008595706011,2,38,11,2,3,0,0.001258389,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,64003
21000572344554805011,2,38,19,2,1,0,0.000419463,1,1,60000,No Rental Assistance,Not a Public Housing Project,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.13,0,0,0,0,0,0,1,1,200500
35158900773095405011,2,38,8,2,2,0,0.000838926,1,1,55000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,1,0.5,43719
92188800703053506011,2,38,13,2,2,0,0.000838926,1,1,140000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,75135
68390511020170805111,2,38,10,2,2,0,0.000838926,1,1,75000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0.01,0,0,0.26,0,0.37,0,0,0,0,0.99,0.5,56892
88578009325100306011,2,38,7,2,1,0,0.000419463,1,1,120000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.38,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,1,1,35010
89857580132030006011,2,38,14,2,2,0,0.000838926,1,1,100000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.03,0,0,0,0,0,0.05,0,0,0,0,0,0.68,0,0.24,0,0,0,0,1,0.5,87357
05705859730493105011,2,38,5,2,2,1,0.000838926,1,1,100000,No Rental Assistance,Not a Public Housing Project,1500,22,0,0,0.69,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,24632
28375515040420405011,2,38,10,2,2,0,0.000838926,1,1,550000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.12,0,0,1,0.5,52846
10730968281015005111,2,38,10,2,4,0,0.001677852,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,55002
71000096312518805111,2,38,12,2,2,0,0.000838926,1,1,200000,No Rental Assistance,Not a Public Housing Project,0,0,0.02,0.07,0.01,0,0,0,0,0.04,0.1,0,0,0.06,0,0.09,0.25,0,0.28,0.08,0,0,0,1,0.5,71079
31000410325169805011,2,38,17,2,5,0,0.002097315,1,1,200000,No Rental Assistance,Not a Public Housing Project,0,0,-0.01,0,0.12,0,0,0,0,0,0.27,0,0,0.05,0,0.28,0.04,0,0.25,0,0,0,0,1,0.2,126059
01103830730500105011,2,38,11,2,2,0,0.000838926,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,1,0.5,64734
83510070130100305011,2,38,2,2,1,0,0.000419463,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,0.06,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.35,0.29,0,0,0,0.99,0.99,13621
03138000173001505011,2,38,4,2,1,0,0.000419463,1,0,0,No Rental Assistance,Public Housing Project ,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,1,1,21534
07202822730716106011,2,38,1,2,6,2,0.002516779,5,1,10000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,5000
03081056941012305011,2,38,15,2,2,0,0.000838926,1,1,100000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.1,0,0,0,0,0,0.39,0,0,0.01,0,0,0.19,0,0.31,0,0,0,0,1,0.5,101483
68348218070050106011,2,38,18,2,3,0,0.001258389,1,1,100000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,1,0.33,143524
51000846307281806011,2,38,6,2,1,0,0.000419463,1,1,500000,No Rental Assistance,Not a Public Housing Project,0,0,0,0.02,0.65,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,1,1,30651
30030011307180106111,2,38,1,2,1,0,0.000419463,1,1,10000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,1,1,6000
30801500113030705011,2,38,11,2,2,0,0.000838926,1,1,150000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.15,0,0,0,0,0.99,0.5,62614
30174081602588006011,2,38,12,2,4,2,0.001677852,1,1,100000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,68000
62128100273027706011,2,38,17,2,6,2,0.002516779,1,1,224000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,1,0.17,135500
30170061409488106011,2,38,11,2,3,0,0.001258389,1,1,40000,No Rental Assistance,Not a Public Housing Project,0,0,0,0.32,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,63400
76442913000770505111,2,46,6,2,2,0,0.001098298,1,1,20000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.7,0,0,0,0,1,0.5,31821
80540233761033106011,2,46,9,2,2,0,0.001098298,1,1,30000,No Rental Assistance,Not a Public Housing Project,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.17,0,0,0,0,0.99,0.5,46918
40574031709762606011,2,46,8,2,4,2,0.002196595,1,1,60000,No Rental Assistance,Not a Public Housing Project,0,0,0,0.12,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,42600
76442913070670506011,2,46,15,2,1,0,0.000549149,1,1,200000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,96050
04061073524796706011,2,46,8,2,2,1,0.001098298,1,1,26000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,45000
05204623040344105011,2,46,6,2,2,0,0.001098298,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,30002
